id,walk_len,walk_gazex_std,walk_gazey_std,walk_posx_mean,walk_posx_std,walk_posx_speed,walk_posy_mean,walk_posy_std,walk_posy_speed,walk_head_speed,walk_eyex_mean,walk_eyex_std,walk_eyex_speed,walk_eyey_mean,walk_eyey_std,walk_eyey_speed,walk_eye_speed,walk_eyexpos_corr,walk_eyeypos_corr,walk_bothcent,walk_eyecent,walk_headcent,walk_nocent_samedir,walk_nocent_oppdir,walk_path_total,walk_path_speed,walk_path_speed_sd,walk_straightness,walk_eyexspeed_corr,walk_headxspeed_corr,walk_gazexspeed_corr,search_len,search_gazex_std,search_gazey_std,search_posx_mean,search_posx_std,search_posx_speed,search_posy_mean,search_posy_std,search_posy_speed,search_head_speed,search_eyex_mean,search_eyex_std,search_eyex_speed,search_eyey_mean,search_eyey_std,search_eyey_speed,search_eye_speed,search_eyexpos_corr,search_eyeypos_corr,search_bothcent,search_eyecent,search_headcent,search_nocent_samedir,search_nocent_oppdir,search_path_total,search_path_speed,search_path_speed_sd,search_straightness,search_eyexspeed_corr,search_headxspeed_corr,search_gazexspeed_corr,
214,7500,17.5013,9.6248,-2.9815,7.4395,0.57334,-2.3066,5.3382,0.54545,0.88983,-3.7895,11.8176,1.4434,-5.9524,6.1224,0.89587,1.843,0.58314,0.38485,0.77447,0.01233,0.18402,0.028875,0.00031216,323.0947,1.2924,0.22141,1.4005,-0.050419,-0.28772,-0.17414,18193,21.3352,14.6848,-2.2582,11.7079,0.39479,1.4646,7.8939,0.34258,0.59283,-3.3577,13.2915,1.14,-0.30884,9.605,0.76131,1.4694,0.44206,0.40447,0.71187,0.06553,0.16952,0.053026,5.8983e-05,307.3257,0.50678,0.55358,1.9642,-0.058981,0.2781,0.12146,
216,8684,23.541,11.1291,9.6463,15.8647,1.0186,0.96155,7.0343,0.69819,1.3795,-2.6597,11.2283,2.4833,-4.4545,7.2194,1.4994,3.0441,0.50486,0.22893,0.57334,0.26502,0.078649,0.072135,0.010856,331.2772,1.1444,0.245,1.3392,-0.021785,0.025613,-0.013881,19978,32.0405,13.6781,2.6639,24.3461,0.80044,0.60507,7.9876,0.53682,1.088,-1.7329,12.5407,1.4675,-0.7247,8.7175,0.8688,1.8094,0.45282,0.34153,0.51996,0.29765,0.098945,0.07988,0.0035683,420.4812,0.63142,0.54489,2.5629,-0.06993,0.47128,0.33455,
217,8508,17.5057,15.7519,0.83655,10.6714,0.45117,8.7379,9.7011,0.79333,1.0071,-2.3995,10.4213,1.4293,1.3687,8.4803,1.1924,2.0368,0.44661,0.49604,0.87966,0.026955,0.056208,0.031809,0.0053654,321.4892,1.1336,0.2173,1.3094,-0.068291,-0.043804,-0.041339,16320,28.4593,15.2632,-6.1896,17.9585,0.47496,6.7065,8.9801,0.41937,0.71609,-3.232,14.7902,0.91305,-5.0366,10.2792,0.69595,1.2669,0.50853,0.25182,0.51261,0.17998,0.15571,0.14926,0.0024398,277.522,0.51015,0.61863,2.69,-0.1507,0.31496,0.15683,
218,8407,24.887,20.3526,12.0207,14.5524,0.71612,-0.41856,13.4661,0.63235,1.0727,1.6711,12.3402,1.618,-0.92049,9.5572,1.1348,2.225,0.70335,0.55328,0.66484,0.1338,0.040737,0.1588,0.0018295,334.2593,1.1928,0.18268,1.3748,0.04657,0.048883,0.051657,15404,28.5298,17.6942,6.919,17.0104,0.39916,-1.3348,11.0187,0.37468,0.62,-1.8261,15.9177,1.2749,-2.2091,10.1364,0.79619,1.6718,0.49559,0.39865,0.47464,0.17501,0.17014,0.16942,0.01079,250.7845,0.48841,0.52784,2.389,-0.26079,-0.095214,-0.093533,
219,8494,16.7582,10.4626,-2.9183,7.093,0.48266,1.5236,6.0136,0.51281,0.78437,-5.7909,12.274,2.3447,-11.816,7.7466,1.2083,2.8512,0.45552,0.14141,0.74232,0.02047,0.18832,0.047923,0.00096328,325.077,1.1481,0.19067,1.3745,0.0096995,-0.0037611,0.0090932,14572,32.4089,16.2354,-14.1552,23.3307,0.45314,5.3587,12.0096,0.32104,0.62466,-5.1419,12.9222,1.1862,-5.8508,9.1985,0.64212,1.4622,0.54885,0.15543,0.31947,0.42367,0.054388,0.18954,0.012936,186.1535,0.38324,0.47233,1.8076,-0.092466,-0.056015,-0.057645,
220,7735,11.806,8.5821,0.53011,4.9315,0.31049,-5.3586,4.9152,0.48143,0.6321,4.0628,9.3872,2.0448,-6.7523,7.5081,1.2966,2.5917,0.28811,-0.080629,0.86388,0.012989,0.11796,0.0045063,0.00066269,347.2469,1.3468,0.27892,1.4497,-0.031828,-0.024401,-0.051807,14837,20.3197,14.5412,0.082915,10.8206,0.32196,-0.78295,8.0015,0.30829,0.49717,1.4608,12.3993,1.4091,-3.3897,10.8317,1.0876,1.9469,0.52867,0.17412,0.70015,0.084629,0.14298,0.071625,0.00061924,270.8337,0.54762,0.55832,2.611,0.037179,0.086755,0.077192,
221,9164,18.5698,10.1947,0.78595,11.9382,0.51574,-7.1425,6.2156,0.58297,0.86567,-1.8322,8.6296,1.2598,-6.4705,6.1579,0.77994,1.5875,0.61816,0.35227,0.80608,0.10821,0.029979,0.054274,0.0014488,326.1769,1.0678,0.16072,1.3758,0.1161,-0.056849,0.023915,20504,26.7965,12.9896,-4.8322,20.3652,0.5668,-0.51508,9.2297,0.41131,0.78545,-4.0439,9.5879,1.4086,-5.2502,7.129,0.88593,1.7826,0.53539,0.25046,0.50756,0.37175,0.031021,0.084335,0.0053364,343.1828,0.50212,0.3872,3.2583,0.041531,0.36756,0.30159,
222,8498,15.8075,11.133,-1.5051,8.3311,0.61332,-2.6533,6.5622,0.53346,0.90926,-4.4243,9.772,1.2077,-5.7976,6.3448,0.71293,1.5129,0.54166,0.51051,0.83462,0.023212,0.094866,0.047307,0,317.3887,1.1205,0.18127,1.381,0.0038211,-0.00016169,0.008981,30929,29.9684,13.967,-0.070588,20.2085,0.49071,0.7051,8.1796,0.38282,0.70164,-2.6279,13.4152,0.97166,-4.231,8.104,0.62318,1.255,0.56495,0.4749,0.56611,0.18567,0.11752,0.12697,0.0037315,658.8254,0.63904,0.45647,2.6159,-0.17599,0.00036433,-0.07303,
224,8541,30.1513,11.7423,13.3558,19.0197,0.74697,2.0969,4.5203,0.41767,0.94393,3.4185,13.5087,1.3905,-1.8317,9.1636,1.1911,2.0791,0.70427,0.40462,0.64211,0.065314,0.05986,0.21433,0.018389,334.2515,1.174,0.14974,1.3841,-0.030736,-0.07697,-0.066962,18121,30.9871,14.5402,-5.893,20.5501,0.51312,2.3586,7.9412,0.33512,0.69049,-2.1586,13.5291,0.97174,-4.4514,8.8185,0.6882,1.3248,0.63457,0.49368,0.4675,0.27305,0.06681,0.19003,0.0026143,318.7951,0.52778,0.43366,3.0533,-0.23302,-0.079859,-0.18354,
225,8932,12.7507,8.3742,6.3887,7.1288,0.55652,-13.5482,5.6732,0.64487,0.94365,-1.9883,9.073,1.5745,-6.1062,6.3503,1.1685,2.0984,0.22722,-0.032565,0.82141,0.091401,0.069753,0.013349,0.004089,351.8772,1.1819,0.33085,1.5363,-0.086196,-0.12418,-0.11801,23661,30.5157,13.6239,7.892,21.3984,0.46986,-4.1842,8.1197,0.31931,0.63581,-2.8797,14.0901,1.3784,-7.4605,9.4103,1.1364,1.9042,0.42002,0.18235,0.51144,0.24278,0.13148,0.10035,0.013943,409.5357,0.51925,0.45727,3.1404,-0.17861,0.15909,0.0081267,
226,8934,11.8267,12.3618,-0.070648,6.5164,0.63314,-5.8387,5.7567,0.67366,1.0243,-7.0875,8.83,1.9283,-9.0167,8.7934,1.383,2.5566,0.16527,0.42416,0.84045,0.019728,0.12335,0.015323,0.0011492,341.0181,1.1451,0.17461,1.3384,-0.023953,0.093529,0.017932,20007,24.4515,18.0757,-3.7749,14.8092,0.46076,0.83989,8.1732,0.41322,0.70161,-3.7778,14.5668,1.3816,1.1825,13.1957,0.99158,1.8542,0.36611,0.39676,0.5794,0.15476,0.17412,0.087142,0.0045752,314.3935,0.47143,0.49518,2.9177,-0.1435,0.37532,0.18425,
227,8733,21.6802,14.4093,4.9842,10.5768,0.56905,2.0354,8.9027,0.60455,0.93865,-8.0094,14.246,3.3426,-8.8188,8.0539,1.2215,3.6778,0.50991,0.43679,0.61966,0.087365,0.22695,0.061468,0.0045532,324.2097,1.1137,0.24213,1.3521,0.033419,-0.11226,-0.059212,24669,32.8457,9.6373,1.1998,20.6409,0.62974,-0.015781,6.4834,0.43254,0.85478,-9.87,14.4354,1.2119,-2.4255,6.1598,0.60516,1.4532,0.7397,0.15732,0.37509,0.22243,0.17398,0.22012,0.0083849,547.2465,0.66551,0.49382,6.6337,0.013038,0.14356,0.13931,
229,6973,16.721,9.0178,2.4723,8.4671,0.54954,-8.7759,5.2421,1.1978,1.4048,-5.614,11.0479,2.2789,-8.146,7.1562,1.3559,2.8742,0.41779,0.025308,0.7424,0.08504,0.15307,0.017503,0.0019815,294.0273,1.265,0.30337,1.3584,-0.068348,-0.032617,-0.11183,17422,29.126,18.4531,11.8034,21.3791,0.40814,1.9054,10.4729,0.51317,0.73498,-3.2688,12.9512,1.176,-3.8885,11.77,0.8033,1.5524,0.41596,0.37371,0.33422,0.46451,0.080908,0.093616,0.026747,328.8442,0.56626,0.4873,4.0093,-0.054833,-0.14037,-0.02403,
230,8944,14.6719,10.1971,1.1047,9.4585,0.58223,-3.8841,5.2482,0.43016,0.80126,-6.891,8.5004,1.3305,-5.7747,7.1575,0.90753,1.7418,0.32898,0.3198,0.8046,0.086573,0.10102,0.007289,0.00051151,314.4763,1.0548,0.1633,1.3666,-0.022155,-0.0076277,-0.029555,23136,34.138,14.5418,4.753,27.7715,1.0917,-1.9334,10.7093,0.55394,1.3177,-7.531,10.8886,1.1985,-3.4371,6.7778,0.70933,1.5149,0.38839,0.35535,0.3631,0.43139,0.087853,0.099686,0.017967,553.8445,0.71816,0.47496,5.1127,-0.29736,0.25328,0.010563,
231,8077,15.1291,9.9408,10.5049,8.9278,0.57909,-8.8483,5.0981,0.75292,1.0473,-5.3224,8.9571,1.4045,-6.914,7.1249,0.96317,1.8526,0.42449,0.30168,0.5865,0.27014,0.11917,0.011398,0.012791,311.1303,1.1556,0.18736,1.3741,-0.026944,0.059909,0.0099791,24277,30.3178,14.0085,-1.9765,19.5084,0.60478,-1.9249,7.9555,0.44055,0.83105,-7.7744,13.4934,1.2991,-10.7744,8.3456,0.74942,1.6311,0.67236,0.48043,0.39209,0.24728,0.15376,0.20092,0.0059529,305.4916,0.37751,0.40619,3.4114,-0.11209,-0.01344,-0.075154,
